id,date,city_name,neighborhood_name,latitude,longitude,n_mortos,n_feridos,n_agentes_mortos,n_civis_mortos,n_homens_mortos,n_mulheres_mortos,n_trans_mortos,n_homens_feridos,n_mulheres_feridos,n_vitimas
e6bee108-74d7-4d1d-92d7-57182fd9155d,2018-05-10T00:00:00Z,Belford Roxo,Não identificado,-22.7645391,-43.3996264,0,2,0,0,0,0,0,2,0,2
e6bf5e16-3976-4627-9ecc-524812ab0c61,2021-02-11T11:30:00Z,Rio De Janeiro,Laranjeiras,-22.934498,-43.1875152,0,1,0,0,0,0,0,1,0,1
e6c26d2d-e898-422d-9d16-c2b90de44efb,2022-09-03T20:00:00Z,Nova Iguaçu,Miguel Couto,-22.7021953,-43.426042700000004,1,2,0,1,1,0,0,2,0,3
e6c382c8-7027-4bc5-95da-1dd139c196e6,2018-11-22T12:00:00Z,São Gonçalo,Porto Novo,-22.8226817,-43.0766839,1,0,0,1,1,0,0,0,0,1
e6c6d1fa-3838-4ee6-b283-5ad318edafa7,2017-12-19T20:15:00Z,Rio De Janeiro,Vila Kennedy,-22.8604011536,-43.4884109497,0,1,0,0,0,0,0,1,0,1
e6c83f1e-3d78-4ddf-bfdc-f0ba0ff25366,2020-11-24T04:00:00Z,São Gonçalo,Arsenal,-22.8636068,-43.0083081,1,0,0,1,1,0,0,0,0,1
e6d243e8-8759-49c2-8c0a-ca82ed9a67e9,2018-06-22T09:20:00Z,Rio De Janeiro,Tomas Coelho,-22.8738205,-43.3084994,2,0,0,2,2,0,0,0,0,2
e6d76668-2dfd-4e8a-aeab-e5c969cb1435,2017-04-19T08:00:00Z,Belford Roxo,Não identificado,-22.7645397186,-43.3996276855,1,0,0,1,0,0,0,0,0,1
e6dad701-313a-4ad4-8307-e4f55e8cf484,2019-02-17T09:46:00Z,Duque De Caxias,Olavo Bilac,-22.770148,-43.3221289,0,1,0,0,0,0,0,1,0,1
e6ddb060-31cd-4a66-859c-b487e0e2a8b7,2018-03-13T13:00:00Z,Rio De Janeiro,Anchieta,-22.8238795,-43.3981236,0,1,0,0,0,0,0,1,0,1
e6e4a1b0-87ac-4e0f-a217-434f1180cbcd,2022-12-05T10:00:00Z,Rio De Janeiro,Iraja,-22.8322807,-43.3373279,0,1,0,0,0,0,0,1,0,1
e6e4c2b2-e5da-4ada-9e78-a9cf814c7018,2021-08-09T15:00:00Z,Japeri,Mucaja,-22.6851849,-43.6187408,1,0,0,1,1,0,0,0,0,1
e6ef7568-be74-42b3-a0ca-1b390ea71cd4,2017-04-12T00:00:00Z,Itaboraí,Jardim Itambi,-22.7509860992,-42.9601173401,1,0,0,1,1,0,0,0,0,1
e6f3ba53-de0c-4ef4-8eb1-6b71f9f0a3c5,2022-10-08T16:00:00Z,Maricá,Marques De Marica,-22.9087477,-42.7945475,0,1,0,0,0,0,0,1,0,1
e6f4cac4-6fb2-42af-8f09-a9a498d904d8,2019-06-22T00:00:00Z,Rio De Janeiro,Pavuna,-22.8122261,-43.3619715,1,0,0,1,1,0,0,0,0,1
e6f82c4c-ec5a-4086-8f6a-04cd68b688d7,2020-06-01T21:00:00Z,Nova Iguaçu,Posse,-22.7350341,-43.4560525,1,0,0,1,1,0,0,0,0,1
e704ad36-b3f3-4ccb-a21f-057b4c3d2fa5,2018-12-06T13:00:00Z,Niterói,Icarai,-22.9121537,-43.1022216,1,1,0,1,1,0,0,1,0,2
e707cf43-2bf0-4d79-8a12-d2ba1ee283cb,2022-03-17T08:00:00Z,São Gonçalo,Trindade,-22.8078163,-43.0168496,0,1,0,0,0,0,0,1,0,1
e7098b09-b4fa-4b11-a29d-745c64e9fd1f,2019-01-01T02:00:00Z,Rio De Janeiro,Copacabana,-22.9669151,-43.179,0,2,0,0,0,0,0,1,1,2
e70dfe67-3d4d-4cd7-acca-578e01cbc4b0,2021-07-28T20:00:00Z,São Gonçalo,Boacu,-22.8092415,-43.0526972,0,1,0,0,0,0,0,1,0,1
e7144386-75c3-413b-b39e-ce7e4b5857a6,2023-01-01T00:10:00Z,Mesquita,Santa Terezinha,-22.7906338,-43.4394281,1,0,0,1,1,0,0,0,0,1
e714a95b-7b88-437a-85fc-422d49065028,2019-09-17T20:00:00Z,São Gonçalo,Miriambi,-22.8249818,-42.9915859,2,0,0,2,2,0,0,0,0,2
e71e9193-955d-42ab-af09-81d355414462,2021-07-31T17:10:00Z,Rio De Janeiro,Tijuca,-22.9295168,-43.2262596,1,3,0,1,1,0,0,2,1,4
e721c2fa-bd15-410b-82da-050481497d0a,2022-04-26T16:00:00Z,Queimados,Centro - Queimados,-22.7193364,-43.5472684,1,0,0,1,1,0,0,0,0,1
e7287d04-3f38-4a48-ba31-819a121e0db3,2019-09-29T02:00:00Z,Itaboraí,Vila Gabriela,-22.763956,-42.9152084,0,1,0,0,0,0,0,1,0,1
e72924d7-8241-4561-bff0-07849ce8c709,2022-07-23T14:08:00Z,Nova Iguaçu,Cabucu,-22.7851085,-43.5426419,1,0,1,0,1,0,0,0,0,1
e736cf6b-b4f9-49b0-a521-243842269312,2018-04-29T22:04:00Z,Rio De Janeiro,Meier,-22.9015891,-43.2778412,0,1,0,0,0,0,0,1,0,1
e738fc00-2a7c-449d-ac9c-b0dd9d6248e1,2017-01-09T00:00:00Z,Queimados,Paraiso,-22.6998348236,-43.5496025085,1,0,0,1,0,0,0,0,0,1
e73cbcd0-7477-4724-b535-9211ba02de96,2020-02-12T06:30:00Z,Rio De Janeiro,Santa Teresa,-22.9341674,-43.2043977,1,0,0,1,1,0,0,0,0,1
e73eefa5-3933-470d-814f-11c27072d24d,2018-10-31T03:51:00Z,Rio De Janeiro,Vila Da Penha,-22.8473666,-43.3052409,0,2,0,0,0,0,0,2,0,2
e74361b1-bd51-4ebf-85b8-e31d465e7b9e,2017-10-24T18:00:00Z,São Gonçalo,Maria Paula I,-22.8745507,-43.0226657,1,0,0,1,1,0,0,0,0,1
e74653d0-bfdd-4f9b-a02b-16f53e762fab,2019-08-26T17:00:00Z,Japeri,Delamare,-22.6828463,-43.59461,0,1,0,0,0,0,0,1,0,1
e7487f3d-6c52-42af-a6af-f6bb5d14afe4,2022-06-24T15:00:00Z,Japeri,Santa Ines,-22.654643,-43.608287,0,1,0,0,0,0,0,1,0,1
e7493ac8-f25d-40bd-97fe-2b3ba8092038,2017-06-01T00:00:00Z,Rio De Janeiro,Senador Camara,-22.870689,-43.4967789,4,4,0,4,4,0,0,4,0,8
e7493c2a-1e8e-48ef-8d93-fe3b651d5561,2023-09-10T05:30:00Z,Rio De Janeiro,Cascadura,-22.887911,-43.3272349,1,0,0,1,1,0,0,0,0,1
e74ed0ef-f73f-4898-acc4-28551cc81b0e,2021-02-23T16:00:00Z,Niterói,Centro - Niterói,-22.8869941,-43.115687,0,1,0,0,0,0,0,0,1,1
e753020e-fc38-4d9e-a7fa-d306666b1e16,2021-09-11T20:00:00Z,Rio De Janeiro,Gardenia Azul,-22.963058,-43.3512774,1,0,0,1,0,1,0,0,0,1
e75c1006-260e-4c0b-b19e-5a58e9544278,2019-01-21T01:00:00Z,Itaboraí,Marambaia,-22.7974558,-42.931836,4,4,0,4,3,1,0,2,1,8
e75fce36-27c9-4ffd-866a-6bbab04b3f79,2019-05-23T08:00:00Z,São Gonçalo,Morro Do Castro,-22.8662366,-43.0687277,1,0,0,1,1,0,0,0,0,1
e7640b8d-f66d-407b-993a-17ff9479fc59,2017-05-07T00:00:00Z,Rio De Janeiro,Manguinhos,-22.8801403046,-43.2504005432,0,1,0,0,0,0,0,1,0,1
e769cedf-25dc-476a-bc7d-1bd0795db093,2023-01-09T13:08:00Z,São João De Meriti,Vilar Dos Teles,-22.7683842,-43.3675901,0,1,0,0,0,0,0,1,0,1
e77bbaba-5fba-49d4-a7de-b3a6b32b9506,2023-10-27T20:00:00Z,Rio De Janeiro,Cidade Nova,-22.9095049,-43.2001376,0,1,0,0,0,0,0,1,0,1
e77f9856-1fa5-40ac-831b-ebb3697b7e11,2018-09-16T10:15:00Z,Rio De Janeiro,Costa Barros,-22.8240596,-43.3676548,0,1,0,0,0,0,0,1,0,1
e786c3d2-2c95-4095-8439-789875eabaa6,2019-08-08T23:00:00Z,Nova Iguaçu,Grama,-22.6945375,-43.4266487,2,1,0,2,2,0,0,1,0,3
e78c42f2-e3a5-4ca4-a56e-0227ff0eb40e,2017-06-16T00:00:00Z,São Gonçalo,Laranjal,-22.812828064,-42.9929046631,0,2,0,0,0,0,0,2,0,2
e78eeb7b-1403-49f6-a5fd-140da9a71953,2019-01-01T03:00:00Z,Niterói,Inga,-22.9062633,-43.1282499,1,0,0,1,1,0,0,0,0,1
e7992957-54f8-4e09-9a78-22584f0c0376,2020-04-20T02:00:00Z,Queimados,Vista Alegre,-22.7105192,-43.5895557,1,0,0,1,1,0,0,0,0,1
e79b8211-69f1-457a-8b76-e2599c1ffd2e,2021-11-02T22:00:00Z,Niterói,Sao Lourenco,-22.8858794,-43.1086433,1,0,0,1,1,0,0,0,0,1
e79c5295-1223-4f01-91b5-f7e35a7fd03b,2018-10-25T22:31:00Z,Rio De Janeiro,Pechincha,-22.9240714,-43.3490452,1,1,0,1,1,0,0,1,0,2
e79f6409-6e95-4df4-8fd6-c0320c156b86,2021-09-23T07:00:00Z,São Gonçalo,Engenho Pequeno I,-22.8438537,-43.0438947,2,0,0,2,2,0,0,0,0,2
e7a63cde-6031-4bc2-9334-40adf448a0b0,2018-06-23T22:00:00Z,Maricá,Jardim Atlantico Oeste,-22.9590544,-42.9729574,0,1,0,0,0,0,0,1,0,1
e7ae2613-e855-4ae8-b93e-3e2f11bf3415,2023-05-25T06:25:00Z,Japeri,Mucaja,-22.6829842,-43.614918,0,1,0,0,0,0,0,1,0,1
e7b89692-0f8a-4d3d-a4ca-96d80eb0843d,2017-06-13T00:00:00Z,Rio De Janeiro,Mare,-22.8574962616,-43.2430152893,1,2,0,1,1,0,0,2,0,3
